"CAG-file:"	"Y:\NON-PERMANENTS\DPOIRIER\BATCH_RUN\CATTPROJECT_CUBE\OUT\Cube Simple_2.CAG"
"Project:"	"Cube Simple"
"Creator:"	"CATT-Acoustic v9.1g (build 1.01) / TUCT v2.0g:1.01"
"Version:"	 1
"Srd id(s):"	"A3 "
"Rec id:"	"03"	
"Rec pos:"	    0,300	    0,000	    0,000	"[m]"
"Rec aim:"	    1,028	    0,000	    0,000	"[m]"
"Max order:"	3	
"Max time:"	 100,000	"[ms]"

"#"	"Time"	"Src id"	"Order"	"IS(x)"	"IS(y)"	"IS(z)"	"H"	"V"	"SPL(125)"	"SPL(250)"	"SPL(500)"	"SPL(1k)"	"SPL(2k)"	"SPL(4k)"	"SPL(8k)"	"SPL(16k)"	
	"[ms]"			"[m]"	"[m]"	"[m]"	"[deg]"	"[deg]"	"[dB]"	"[dB]"	"[dB]"	"[dB]"	"[dB]"	"[dB]"	"[dB]"	"[dB]"	
1	   0,000	"A3"	0	    0,000	   -2,000	    0,000	-98,5	  0,0	94,0	93,9	93,9	93,9	93,9	93,8	93,6	93,1	
2	  17,427	"A3"	1	    0,000	   -8,000	    0,000	-92,1	  0,0	62,2	61,9	61,9	61,9	61,8	61,7	61,0	58,5	
3	  22,957	"A3"	1	   10,000	   -2,000	    0,000	-11,7	  0,0	60,3	60,1	60,1	60,0	60,0	59,7	58,9	56,1	
4	  23,826	"A3"	1	    0,000	   -2,000	   10,000	-98,5	-78,6	60,1	59,8	59,8	59,8	59,7	59,5	58,6	55,8	
5	  23,826	"A3"	1	    0,000	   -2,000	  -10,000	-98,5	 78,6	60,1	59,8	59,8	59,8	59,7	59,5	58,6	55,8	
6	  24,671	"A3"	1	  -10,000	   -2,000	    0,000	-169,0	  0,0	59,8	59,6	59,6	59,5	59,5	59,2	58,3	55,6	
7	  29,073	"A3"	1	    0,000	   12,000	    0,000	 91,4	  0,0	58,7	58,4	58,4	58,4	58,3	58,0	57,0	53,9	
8	  30,732	"A3"	2	   10,000	   -8,000	    0,000	-39,5	  0,0	38,1	38,0	37,9	37,9	37,7	37,2	35,0	28,3	
9	  31,420	"A3"	2	    0,000	   -8,000	   10,000	-92,1	-51,3	37,9	37,8	37,8	37,7	37,6	37,0	34,8	27,9	
10	  31,420	"A3"	2	    0,000	   -8,000	  -10,000	-92,1	 51,3	37,9	37,8	37,8	37,7	37,6	37,0	34,8	27,9	
11	  32,096	"A3"	2	  -10,000	   -8,000	    0,000	-142,2	  0,0	37,8	37,7	37,6	37,6	37,4	36,8	34,6	27,6	
12	  35,104	"A3"	2	   10,000	   -2,000	   10,000	-11,7	-45,3	37,1	37,0	37,0	36,9	36,7	36,1	33,7	26,2	
13	  35,104	"A3"	2	   10,000	   -2,000	  -10,000	-11,7	 45,3	37,1	37,0	37,0	36,9	36,7	36,1	33,7	26,2	
14	  36,327	"A3"	2	  -10,000	   -2,000	   10,000	-169,0	-43,6	36,9	36,7	36,7	36,6	36,5	35,8	33,3	25,6	
15	  36,327	"A3"	2	  -10,000	   -2,000	  -10,000	-169,0	 43,6	36,9	36,7	36,7	36,6	36,5	35,8	33,3	25,6	
16	  39,053	"A3"	2	   10,000	   12,000	    0,000	 51,1	  0,0	36,3	36,2	36,1	36,1	35,9	35,2	32,6	24,3	
17	  39,616	"A3"	2	    0,000	   12,000	   10,000	 91,4	-39,8	36,2	36,1	36,0	36,0	35,8	35,1	32,4	24,1	
18	  39,616	"A3"	2	    0,000	   12,000	  -10,000	 91,4	 39,8	36,2	36,1	36,0	36,0	35,8	35,1	32,4	24,1	
19	  40,171	"A3"	2	  -10,000	   12,000	    0,000	130,6	  0,0	36,1	36,0	35,9	35,9	35,7	35,0	32,3	23,8	
20	  40,902	"A3"	3	   10,000	   -8,000	   10,000	-39,5	-38,5	16,0	15,8	15,8	15,7	15,5	14,8	12,1	3,5	
21	  40,902	"A3"	3	   10,000	   -8,000	  -10,000	-39,5	 38,5	16,0	15,8	15,8	15,7	15,5	14,8	12,1	3,5	
22	  41,978	"A3"	3	  -10,000	   -8,000	   10,000	-142,2	-37,5	15,8	15,6	15,6	15,5	15,3	14,6	11,8	3,1	
23	  41,978	"A3"	3	  -10,000	   -8,000	  -10,000	-142,2	 37,5	15,8	15,6	15,6	15,5	15,3	14,6	11,8	3,1	
24	  46,545	"A3"	2	    0,000	   18,000	    0,000	 91,0	  0,0	35,0	34,8	34,8	34,7	34,5	33,7	30,6	21,1	
25	  47,666	"A3"	3	   10,000	   12,000	   10,000	 51,1	-32,9	14,8	14,7	14,6	14,5	14,3	13,5	10,4	0,6	
26	  47,666	"A3"	3	   10,000	   12,000	  -10,000	 51,1	 32,9	14,8	14,7	14,6	14,5	14,3	13,5	10,4	0,6	
